benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
cm_1_1_10_dp_x.dft 10 14 14 0 nan 0 14
cm_1_1_10_sp_x.dft 12 20 20 0 nan 0 20
cm_1_1_11_dp_x.dft nan nan nan nan nan nan nan
cm_1_1_11_sp_x.dft 17 18 18 0 nan 0 18
cm_1_1_12_dp_x.dft 14 20 20 0 nan 0 20
cm_1_1_12_sp_x.dft 14 22 22 0 nan 0 22
cm_1_1_13_sp_x.dft 13 24 24 0 nan 0 24
cm_1_1_14_sp_x.dft 13 24 24 0 nan 0 24
cm_1_1_2_dp_x.dft 7 9 10 0 nan 1 8
cm_1_1_2_sp_x.dft 6 9 10 0 nan 1 8
cm_1_1_3_dp_x.dft 13 17 23 0 nan 3 14
cm_1_1_3_sp_x.dft 13 17 23 0 nan 3 14
cm_1_1_4_dp_x.dft 80 81 106 0 nan 9 72
cm_1_1_4_sp_x.dft 77 82 108 0 nan 10 72
cm_1_1_5_dp_x.dft 171 128 197 0 nan 20 108
cm_1_1_5_sp_x.dft 172 123 188 0 nan 15 108
cm_1_1_6_dp_x.dft 2546 1527 3073 0 nan 113 1414
cm_1_1_6_sp_x.dft 2467 1524 3064 0 nan 110 1414
cm_1_1_7_dp_x.dft 10747 3188 7530 0 nan 211 2977
cm_1_1_7_sp_x.dft 10298 3188 7540 0 nan 211 2977
cm_1_1_8_dp_x.dft 9 16 16 0 nan 0 16
cm_1_1_8_sp_x.dft 2 4 4 0 nan 0 4
cm_1_1_9_dp_x.dft 3 4 4 0 nan 0 4
cm_1_1_9_sp_x.dft 8 16 16 0 nan 0 16
cm_2_1_2_dp_x.dft 11 18 20 0 nan 2 16
cm_2_1_2_sp_x.dft 11 18 20 0 nan 2 16
cm_2_1_3_dp_x.dft 24 34 46 0 nan 6 28
cm_2_1_3_sp_x.dft 23 34 46 0 nan 6 28
cm_2_1_4_dp_x.dft 145 164 220 0 nan 20 144
cm_2_1_4_sp_x.dft 170 163 216 0 nan 19 144
cm_2_2_2_dp_x.dft 10 18 20 0 nan 2 16
cm_2_2_2_sp_x.dft 10 18 20 0 nan 2 16
cm_2_2_3_dp_x.dft 23 34 46 0 nan 6 28
cm_2_2_3_sp_x.dft 42 34 46 0 nan 6 28
cm_2_2_4_dp_x.dft 145 164 217 0 nan 20 144
cm_2_2_4_sp_x.dft 147 165 224 0 nan 21 144
cm_3_1_2_dp_x.dft 15 27 30 0 nan 3 24
cm_3_1_2_sp_x.dft 15 27 30 0 nan 3 24
cm_3_1_3_dp_x.dft 35 51 69 0 nan 9 42
cm_3_1_3_sp_x.dft 37 51 69 0 nan 9 42
cm_3_1_4_dp_x.dft 212 249 337 0 nan 33 216
cm_3_1_4_sp_x.dft 223 249 328 0 nan 33 216
cm_3_2_2_dp_x.dft 15 27 30 0 nan 3 24
cm_3_2_2_sp_x.dft 15 27 30 0 nan 3 24
cm_3_2_3_dp_x.dft 33 51 69 0 nan 9 42
cm_3_2_3_sp_x.dft 36 51 69 0 nan 9 42
cm_3_2_4_dp_x.dft 213 249 332 0 nan 33 216
cm_3_2_4_sp_x.dft 209 245 321 0 nan 29 216
cm_3_3_2_dp_x.dft 16 27 30 0 nan 3 24
cm_3_3_2_sp_x.dft 15 27 30 0 nan 3 24
cm_3_3_3_dp_x.dft 34 51 69 0 nan 9 42
cm_3_3_3_sp_x.dft 33 51 69 0 nan 9 42
cm_3_3_4_dp_x.dft 209 248 336 0 nan 32 216
cm_3_3_4_sp_x.dft 210 254 343 0 nan 38 216
