benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
cm_1_1_10_dp_x.dft 1200000 37 26 5 2 nan
cm_1_1_10_sp_x.dft 1200000 35 24 5 2 nan
cm_1_1_11_dp_x.dft 1200000 40 28 nan nan nan
cm_1_1_11_sp_x.dft 1200000 38 26 5 2 nan
cm_1_1_12_dp_x.dft 1200000 43 30 5 2 nan
cm_1_1_12_sp_x.dft 1200000 41 28 5 2 nan
cm_1_1_13_sp_x.dft 1200000 44 30 5 2 nan
cm_1_1_14_sp_x.dft 1200000 47 32 5 2 nan
cm_1_1_2_dp_x.dft 120 13 10 32 3 12
cm_1_1_2_sp_x.dft 86 11 8 29 3 12
cm_1_1_3_dp_x.dft 149 16 12 44 5 40
cm_1_1_3_sp_x.dft 139 14 10 41 5 40
cm_1_1_4_dp_x.dft 472 19 14 58 36 576
cm_1_1_4_sp_x.dft 452 17 12 55 35 560
cm_1_1_5_dp_x.dft 1293 22 16 70 73 2336
cm_1_1_5_sp_x.dft 1333 20 14 67 78 2496
cm_1_1_6_dp_x.dft 22988 25 18 84 713 45632
cm_1_1_6_sp_x.dft 22951 23 16 81 716 45824
cm_1_1_7_dp_x.dft 118030 28 20 96 1669 213632
cm_1_1_7_sp_x.dft 116234 26 18 93 1669 213632
cm_1_1_8_dp_x.dft 1200000 31 22 5 2 nan
cm_1_1_8_sp_x.dft 1200000 29 20 5 2 nan
cm_1_1_9_dp_x.dft 1200000 34 24 5 2 nan
cm_1_1_9_sp_x.dft 1200000 32 22 5 2 nan
cm_2_1_2_dp_x.dft 225 26 20 32 3 144
cm_2_1_2_sp_x.dft 221 22 16 29 3 144
cm_2_1_3_dp_x.dft 925 32 24 44 5 1600
cm_2_1_3_sp_x.dft 974 28 20 41 5 1600
cm_2_1_4_dp_x.dft 164689 38 28 58 36 313344
cm_2_1_4_sp_x.dft 169021 34 24 55 36 322560
cm_2_2_2_dp_x.dft 235 26 20 32 3 144
cm_2_2_2_sp_x.dft 218 22 16 29 3 144
cm_2_2_3_dp_x.dft 938 32 24 44 5 1600
cm_2_2_3_sp_x.dft 962 28 20 41 5 1600
cm_2_2_4_dp_x.dft 164684 38 28 58 37 312576
cm_2_2_4_sp_x.dft 158765 34 24 55 36 304128
cm_3_1_2_dp_x.dft 1021 38 29 32 3 1728
cm_3_1_2_sp_x.dft 1004 32 23 29 3 1728
cm_3_1_3_dp_x.dft 36076 47 35 44 5 64000
cm_3_1_3_sp_x.dft 35968 41 29 41 5 64000
cm_3_1_4_dp_x.dft 1200000 56 41 58 36 nan
cm_3_1_4_sp_x.dft 1800000 50 35 55 34 nan
cm_3_2_2_dp_x.dft 993 38 29 32 3 1728
cm_3_2_2_sp_x.dft 979 32 23 29 3 1728
cm_3_2_3_dp_x.dft 36024 47 35 44 5 64000
cm_3_2_3_sp_x.dft 35916 41 29 41 5 64000
cm_3_2_4_dp_x.dft 1200000 56 41 58 37 nan
cm_3_2_4_sp_x.dft 1800000 50 35 55 36 nan
cm_3_3_2_dp_x.dft 992 38 29 32 3 1728
cm_3_3_2_sp_x.dft 961 32 23 29 3 1728
cm_3_3_3_dp_x.dft 36170 47 35 44 5 64000
cm_3_3_3_sp_x.dft 35944 41 29 41 5 64000
cm_3_3_4_dp_x.dft 1200000 56 41 58 35 nan
cm_3_3_4_sp_x.dft 1800000 50 35 55 34 nan
