benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
hecs_1_1.dft 2 3 1 0 nan 2 1
hecs_2_1.dft 3 6 2 0 nan 4 2
hecs_2_2.dft 4 6 2 0 nan 4 2
hecs_3_1.dft 6 9 3 0 nan 6 3
hecs_3_3.dft 5 9 3 0 nan 6 3
hecs_4_1.dft 6 12 4 0 nan 8 4
hecs_4_2.dft 6 12 4 0 nan 8 4
hecs_4_3.dft 6 12 4 0 nan 8 4
hecs_4_4.dft 6 12 4 0 nan 8 4
hecs_5_1.dft 8 15 5 0 nan 10 5
hecs_5_5.dft 8 15 5 0 nan 10 5
hecs_6_1.dft 11 18 6 0 nan 12 6
hecs_6_6.dft 11 18 6 0 nan 12 6
hecs_7_1.dft 9 21 7 0 nan 14 7
hecs_7_7.dft 10 21 7 0 nan 14 7
hecs_8_1.dft 13 24 8 0 nan 16 8
hecs_8_8.dft 13 24 8 0 nan 16 8
