benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
hecs_1_1.dft 63 15 14 9 2 2
hecs_2_1.dft 141 30 28 9 2 4
hecs_2_2.dft 143 30 28 9 2 4
hecs_3_1.dft 253 44 41 9 2 8
hecs_3_3.dft 254 44 41 9 2 8
hecs_4_1.dft 413 58 54 9 2 16
hecs_4_2.dft 402 58 54 9 2 16
hecs_4_3.dft 428 58 54 9 2 16
hecs_4_4.dft 400 58 54 9 2 16
hecs_5_1.dft 621 72 67 9 2 32
hecs_5_5.dft 598 72 67 9 2 32
hecs_6_1.dft 832 86 80 9 2 64
hecs_6_6.dft 851 86 80 9 2 64
hecs_7_1.dft 1136 100 93 9 2 128
hecs_7_7.dft 1126 100 93 9 2 128
hecs_8_1.dft 1557 114 106 9 2 256
hecs_8_8.dft 1548 114 106 9 2 256
