benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
rc.1-1-hc.dft 2 5 3 0 nan 2 3
rc.1-1-sc.dft 1 2 2 0 nan 0 2
rc.1-10-hc.dft 13 23 21 0 nan 2 21
rc.1-10-sc.dft 10 20 20 0 nan 0 20
rc.1-15-hc.dft 17 33 31 0 nan 2 31
rc.1-15-sc.dft 16 30 30 0 nan 0 30
rc.1-2-hc.dft 4 7 5 0 nan 2 5
rc.1-2-sc.dft 2 4 4 0 nan 0 4
rc.1-20-hc.dft 22 43 41 0 nan 2 41
rc.1-20-sc.dft 20 40 40 0 nan 0 40
rc.1-25-hc.dft 27 53 51 0 nan 2 51
rc.1-25-sc.dft 26 50 50 0 nan 0 50
rc.1-3-hc.dft 4 9 7 0 nan 2 7
rc.1-3-sc.dft 3 6 6 0 nan 0 6
rc.1-30-hc.dft 33 63 61 0 nan 2 61
rc.1-30-sc.dft 31 60 60 0 nan 0 60
rc.1-4-hc.dft 6 11 9 0 nan 2 9
rc.1-4-sc.dft 4 8 8 0 nan 0 8
rc.1-5-hc.dft 6 13 11 0 nan 2 11
rc.1-5-sc.dft 6 10 10 0 nan 0 10
rc.10-1-hc.dft 2 5 3 0 nan 2 3
rc.10-1-sc.dft 1 2 2 0 nan 0 2
rc.10-10-hc.dft 11 23 21 0 nan 2 21
rc.10-10-sc.dft 10 20 20 0 nan 0 20
rc.15-1-hc.dft 3 5 3 0 nan 2 3
rc.15-1-sc.dft 1 2 2 0 nan 0 2
rc.15-15-hc.dft 17 33 31 0 nan 2 31
rc.15-15-sc.dft 23 30 30 0 nan 0 30
rc.2-1-hc.dft 3 5 3 0 nan 2 3
rc.2-1-sc.dft 1 2 2 0 nan 0 2
rc.2-2-hc.dft 4 7 5 0 nan 2 5
rc.2-2-sc.dft 2 4 4 0 nan 0 4
rc.2-3-hc.dft 5 9 7 0 nan 2 7
rc.2-3-sc.dft 3 6 6 0 nan 0 6
rc.2-4-hc.dft 6 11 9 0 nan 2 9
rc.2-4-sc.dft 5 8 8 0 nan 0 8
rc.20-1-hc.dft 3 5 3 0 nan 2 3
rc.20-1-sc.dft 1 2 2 0 nan 0 2
rc.20-20-hc.dft 22 43 41 0 nan 2 41
rc.20-20-sc.dft 21 40 40 0 nan 0 40
rc.25-1-hc.dft 3 5 3 0 nan 2 3
rc.25-1-sc.dft 1 2 2 0 nan 0 2
rc.25-25-hc.dft 28 53 51 0 nan 2 51
rc.25-25-sc.dft 26 50 50 0 nan 0 50
rc.3-1-hc.dft 3 5 3 0 nan 2 3
rc.3-1-sc.dft 1 2 2 0 nan 0 2
rc.3-2-hc.dft 4 7 5 0 nan 2 5
rc.3-2-sc.dft 2 4 4 0 nan 0 4
rc.3-3-hc.dft 4 9 7 0 nan 2 7
rc.3-3-sc.dft 3 6 6 0 nan 0 6
rc.3-4-hc.dft 12 11 9 0 nan 2 9
rc.3-4-sc.dft 4 8 8 0 nan 0 8
rc.30-1-hc.dft 3 5 3 0 nan 2 3
rc.30-1-sc.dft 1 2 2 0 nan 0 2
rc.30-30-hc.dft 34 63 61 0 nan 2 61
rc.30-30-sc.dft 31 60 60 0 nan 0 60
rc.4-1-hc.dft 3 5 3 0 nan 2 3
rc.4-1-sc.dft 2 2 2 0 nan 0 2
rc.4-2-hc.dft 5 7 5 0 nan 2 5
rc.4-2-sc.dft 2 4 4 0 nan 0 4
rc.4-3-hc.dft 4 9 7 0 nan 2 7
rc.4-3-sc.dft 3 6 6 0 nan 0 6
rc.4-4-hc.dft 5 11 9 0 nan 2 9
rc.4-4-sc.dft 4 8 8 0 nan 0 8
rc.5-1-hc.dft 2 5 3 0 nan 2 3
rc.5-1-sc.dft 1 2 2 0 nan 0 2
rc.5-5-hc.dft 7 13 11 0 nan 2 11
rc.5-5-sc.dft 5 10 10 0 nan 0 10
