benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
rc.1-1-hc.dft 130 35 33 10 2 4
rc.1-1-sc.dft 56 15 14 10 2 2
rc.1-10-hc.dft 1456 45 34 10 2 2048
rc.1-10-sc.dft 794 25 15 10 2 1024
rc.1-15-hc.dft 37012 50 34 10 2 65536
rc.1-15-sc.dft 16585 30 15 10 2 32768
rc.1-2-hc.dft 173 37 34 10 2 8
rc.1-2-sc.dft 85 17 15 10 2 4
rc.1-20-hc.dft 1200000 55 34 10 2 nan
rc.1-20-sc.dft 1800000 35 15 10 2 nan
rc.1-25-hc.dft 1800000 60 34 10 2 nan
rc.1-25-sc.dft 1800000 40 15 10 2 nan
rc.1-3-hc.dft 221 38 34 10 2 16
rc.1-3-sc.dft 115 18 15 10 2 8
rc.1-30-hc.dft 1200000 65 34 10 2 nan
rc.1-30-sc.dft 1800000 45 15 10 2 nan
rc.1-4-hc.dft 273 39 34 10 2 32
rc.1-4-sc.dft 155 19 15 10 2 16
rc.1-5-hc.dft 336 40 34 10 2 64
rc.1-5-sc.dft 198 20 15 10 2 32
rc.10-1-hc.dft 623 135 133 10 2 4
rc.10-1-sc.dft 449 115 114 10 2 2
rc.10-10-hc.dft 2404 145 134 10 2 2048
rc.10-10-sc.dft 1617 125 115 10 2 1024
rc.15-1-hc.dft 1119 190 188 10 2 4
rc.15-1-sc.dft 814 170 169 10 2 2
rc.15-15-hc.dft 40820 205 189 10 2 65536
rc.15-15-sc.dft 18081 185 170 10 2 32768
rc.2-1-hc.dft 164 47 45 10 2 4
rc.2-1-sc.dft 75 27 26 10 2 2
rc.2-2-hc.dft 216 49 46 10 2 8
rc.2-2-sc.dft 111 29 27 10 2 4
rc.2-3-hc.dft 267 50 46 10 2 16
rc.2-3-sc.dft 149 30 27 10 2 8
rc.2-4-hc.dft 332 51 46 10 2 32
rc.2-4-sc.dft 191 31 27 10 2 16
rc.20-1-hc.dft 1697 245 243 10 2 4
rc.20-1-sc.dft 1335 225 224 10 2 2
rc.20-20-hc.dft 1200000 265 244 10 2 nan
rc.20-20-sc.dft 1800000 245 225 10 2 nan
rc.25-1-hc.dft 2532 300 298 10 2 4
rc.25-1-sc.dft 2077 280 279 10 2 2
rc.25-25-hc.dft 1200000 325 299 10 2 nan
rc.25-25-sc.dft 1800000 305 280 10 2 nan
rc.3-1-hc.dft 204 58 56 10 2 4
rc.3-1-sc.dft 99 38 37 10 2 2
rc.3-2-hc.dft 262 60 57 10 2 8
rc.3-2-sc.dft 141 40 38 10 2 4
rc.3-3-hc.dft 319 61 57 10 2 16
rc.3-3-sc.dft 185 41 38 10 2 8
rc.3-4-hc.dft 411 62 57 10 2 32
rc.3-4-sc.dft 232 42 38 10 2 16
rc.30-1-hc.dft 3347 355 353 10 2 4
rc.30-1-sc.dft 2850 335 334 10 2 2
rc.30-30-hc.dft 1200000 385 354 10 2 nan
rc.30-30-sc.dft 1800000 365 335 10 2 nan
rc.4-1-hc.dft 250 69 67 10 2 4
rc.4-1-sc.dft 130 49 48 10 2 2
rc.4-2-hc.dft 310 71 68 10 2 8
rc.4-2-sc.dft 176 51 49 10 2 4
rc.4-3-hc.dft 372 72 68 10 2 16
rc.4-3-sc.dft 224 52 49 10 2 8
rc.4-4-hc.dft 448 73 68 10 2 32
rc.4-4-sc.dft 277 53 49 10 2 16
rc.5-1-hc.dft 301 80 78 10 2 4
rc.5-1-sc.dft 164 60 59 10 2 2
rc.5-5-hc.dft 603 85 79 10 2 64
rc.5-5-sc.dft 395 65 60 10 2 32
