benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
cm_1_1_10_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_10_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_11_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_11_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_12_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_12_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_13_sp_x.dft 1800000 1 N/A N/A N/A N/A
cm_1_1_14_sp_x.dft 1800000 1 N/A N/A N/A N/A
cm_1_1_2_dp_x.dft 4590 1 N/A 36 144 144
cm_1_1_2_sp_x.dft 843 1 N/A 33 53 53
cm_1_1_3_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_3_sp_x.dft 231730 1 N/A 45 845 845
cm_1_1_4_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_4_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_5_dp_x.dft 1800000 1 N/A N/A N/A N/A
cm_1_1_5_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_6_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_6_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_7_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_7_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_8_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_8_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_9_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_1_1_9_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_2_1_2_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_2_1_2_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_2_1_3_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_2_1_3_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_2_1_4_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_2_1_4_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_2_2_2_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_2_2_2_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_2_2_3_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_2_2_3_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_2_2_4_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_2_2_4_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_1_2_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_1_2_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_1_3_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_1_3_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_1_4_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_1_4_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_2_2_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_2_2_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_2_3_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_2_3_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_2_4_dp_x.dft 1800000 1 N/A N/A N/A N/A
cm_3_2_4_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_3_2_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_3_2_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_3_3_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_3_3_sp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_3_4_dp_x.dft 1200000 1 N/A N/A N/A N/A
cm_3_3_4_sp_x.dft 1200000 1 N/A N/A N/A N/A
