benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
hecs_1_1.dft 1000 1 nan 32 68 68
hecs_2_1.dft 1200000 1 nan nan nan nan
hecs_2_2.dft 1200000 1 nan nan nan nan
hecs_3_1.dft 1200000 1 nan nan nan nan
hecs_3_3.dft 1200000 1 nan nan nan nan
hecs_4_1.dft 1200000 1 nan nan nan nan
hecs_4_2.dft 1200000 1 nan nan nan nan
hecs_4_3.dft 1200000 1 nan nan nan nan
hecs_4_4.dft 1200000 1 nan nan nan nan
hecs_5_1.dft 1200000 1 nan nan nan nan
hecs_5_5.dft 1200000 1 nan nan nan nan
hecs_6_1.dft 1200000 1 nan nan nan nan
hecs_6_6.dft 1200000 1 nan nan nan nan
hecs_7_1.dft 1200000 1 nan nan nan nan
hecs_7_7.dft 1200000 1 nan nan nan nan
hecs_8_1.dft 1800000 1 nan nan nan nan
hecs_8_8.dft 1200000 1 nan nan nan nan
