benchmarkName countNodes dynamic repair partialObservable FAULT AND OR VOTE SPARE POR_I PAND_I SAND POR PAND BASIC_EVENT FDEP RDEP PDEP MONITOR DELAY SEQ
rc.1-1-hc.dft 58 true false false 22 0 0 9 3 0 0 0 1 0 21 2 0 0 0 0 0
rc.1-1-sc.dft 26 true false false 10 0 0 4 1 0 0 0 1 0 9 1 0 0 0 0 0
rc.1-10-hc.dft 149 true false false 49 0 0 28 12 0 0 0 10 0 48 2 0 0 0 0 0
rc.1-10-sc.dft 117 true false false 37 0 0 23 10 0 0 0 10 0 36 1 0 0 0 0 0
rc.1-15-hc.dft 199 true false false 64 0 0 38 17 0 0 0 15 0 63 2 0 0 0 0 0
rc.1-15-sc.dft 167 true false false 52 0 0 33 15 0 0 0 15 0 51 1 0 0 0 0 0
rc.1-2-hc.dft 69 true false false 25 0 0 12 4 0 0 0 2 0 24 2 0 0 0 0 0
rc.1-2-sc.dft 37 true false false 13 0 0 7 2 0 0 0 2 0 12 1 0 0 0 0 0
rc.1-20-hc.dft 249 true false false 79 0 0 48 22 0 0 0 20 0 78 2 0 0 0 0 0
rc.1-20-sc.dft 217 true false false 67 0 0 43 20 0 0 0 20 0 66 1 0 0 0 0 0
rc.1-25-hc.dft 299 true false false 94 0 0 58 27 0 0 0 25 0 93 2 0 0 0 0 0
rc.1-25-sc.dft 267 true false false 82 0 0 53 25 0 0 0 25 0 81 1 0 0 0 0 0
rc.1-3-hc.dft 79 true false false 28 0 0 14 5 0 0 0 3 0 27 2 0 0 0 0 0
rc.1-3-sc.dft 47 true false false 16 0 0 9 3 0 0 0 3 0 15 1 0 0 0 0 0
rc.1-30-hc.dft 349 true false false 109 0 0 68 32 0 0 0 30 0 108 2 0 0 0 0 0
rc.1-30-sc.dft 317 true false false 97 0 0 63 30 0 0 0 30 0 96 1 0 0 0 0 0
rc.1-4-hc.dft 89 true false false 31 0 0 16 6 0 0 0 4 0 30 2 0 0 0 0 0
rc.1-4-sc.dft 57 true false false 19 0 0 11 4 0 0 0 4 0 18 1 0 0 0 0 0
rc.1-5-hc.dft 99 true false false 34 0 0 18 7 0 0 0 5 0 33 2 0 0 0 0 0
rc.1-5-sc.dft 67 true false false 22 0 0 13 5 0 0 0 5 0 21 1 0 0 0 0 0
rc.10-1-hc.dft 167 true false false 67 0 0 19 3 0 0 0 1 0 66 11 0 0 0 0 0
rc.10-1-sc.dft 135 true false false 55 0 0 14 1 0 0 0 1 0 54 10 0 0 0 0 0
rc.10-10-hc.dft 258 true false false 94 0 0 38 12 0 0 0 10 0 93 11 0 0 0 0 0
rc.10-10-sc.dft 226 true false false 82 0 0 33 10 0 0 0 10 0 81 10 0 0 0 0 0
rc.15-1-hc.dft 227 true false false 92 0 0 24 3 0 0 0 1 0 91 16 0 0 0 0 0
rc.15-1-sc.dft 195 true false false 80 0 0 19 1 0 0 0 1 0 79 15 0 0 0 0 0
rc.15-15-hc.dft 368 true false false 134 0 0 53 17 0 0 0 15 0 133 16 0 0 0 0 0
rc.15-15-sc.dft 336 true false false 122 0 0 48 15 0 0 0 15 0 121 15 0 0 0 0 0
rc.2-1-hc.dft 71 true false false 27 0 0 11 3 0 0 0 1 0 26 3 0 0 0 0 0
rc.2-1-sc.dft 39 true false false 15 0 0 6 1 0 0 0 1 0 14 2 0 0 0 0 0
rc.2-2-hc.dft 82 true false false 30 0 0 14 4 0 0 0 2 0 29 3 0 0 0 0 0
rc.2-2-sc.dft 50 true false false 18 0 0 9 2 0 0 0 2 0 17 2 0 0 0 0 0
rc.2-3-hc.dft 92 true false false 33 0 0 16 5 0 0 0 3 0 32 3 0 0 0 0 0
rc.2-3-sc.dft 60 true false false 21 0 0 11 3 0 0 0 3 0 20 2 0 0 0 0 0
rc.2-4-hc.dft 102 true false false 36 0 0 18 6 0 0 0 4 0 35 3 0 0 0 0 0
rc.2-4-sc.dft 70 true false false 24 0 0 13 4 0 0 0 4 0 23 2 0 0 0 0 0
rc.20-1-hc.dft 287 true false false 117 0 0 29 3 0 0 0 1 0 116 21 0 0 0 0 0
rc.20-1-sc.dft 255 true false false 105 0 0 24 1 0 0 0 1 0 104 20 0 0 0 0 0
rc.20-20-hc.dft 478 true false false 174 0 0 68 22 0 0 0 20 0 173 21 0 0 0 0 0
rc.20-20-sc.dft 446 true false false 162 0 0 63 20 0 0 0 20 0 161 20 0 0 0 0 0
rc.25-1-hc.dft 347 true false false 142 0 0 34 3 0 0 0 1 0 141 26 0 0 0 0 0
rc.25-1-sc.dft 315 true false false 130 0 0 29 1 0 0 0 1 0 129 25 0 0 0 0 0
rc.25-25-hc.dft 588 true false false 214 0 0 83 27 0 0 0 25 0 213 26 0 0 0 0 0
rc.25-25-sc.dft 556 true false false 202 0 0 78 25 0 0 0 25 0 201 25 0 0 0 0 0
rc.3-1-hc.dft 83 true false false 32 0 0 12 3 0 0 0 1 0 31 4 0 0 0 0 0
rc.3-1-sc.dft 51 true false false 20 0 0 7 1 0 0 0 1 0 19 3 0 0 0 0 0
rc.3-2-hc.dft 94 true false false 35 0 0 15 4 0 0 0 2 0 34 4 0 0 0 0 0
rc.3-2-sc.dft 62 true false false 23 0 0 10 2 0 0 0 2 0 22 3 0 0 0 0 0
rc.3-3-hc.dft 104 true false false 38 0 0 17 5 0 0 0 3 0 37 4 0 0 0 0 0
rc.3-3-sc.dft 72 true false false 26 0 0 12 3 0 0 0 3 0 25 3 0 0 0 0 0
rc.3-4-hc.dft 114 true false false 41 0 0 19 6 0 0 0 4 0 40 4 0 0 0 0 0
rc.3-4-sc.dft 82 true false false 29 0 0 14 4 0 0 0 4 0 28 3 0 0 0 0 0
rc.30-1-hc.dft 407 true false false 167 0 0 39 3 0 0 0 1 0 166 31 0 0 0 0 0
rc.30-1-sc.dft 375 true false false 155 0 0 34 1 0 0 0 1 0 154 30 0 0 0 0 0
rc.30-30-hc.dft 698 true false false 254 0 0 98 32 0 0 0 30 0 253 31 0 0 0 0 0
rc.30-30-sc.dft 666 true false false 242 0 0 93 30 0 0 0 30 0 241 30 0 0 0 0 0
rc.4-1-hc.dft 95 true false false 37 0 0 13 3 0 0 0 1 0 36 5 0 0 0 0 0
rc.4-1-sc.dft 63 true false false 25 0 0 8 1 0 0 0 1 0 24 4 0 0 0 0 0
rc.4-2-hc.dft 106 true false false 40 0 0 16 4 0 0 0 2 0 39 5 0 0 0 0 0
rc.4-2-sc.dft 74 true false false 28 0 0 11 2 0 0 0 2 0 27 4 0 0 0 0 0
rc.4-3-hc.dft 116 true false false 43 0 0 18 5 0 0 0 3 0 42 5 0 0 0 0 0
rc.4-3-sc.dft 84 true false false 31 0 0 13 3 0 0 0 3 0 30 4 0 0 0 0 0
rc.4-4-hc.dft 126 true false false 46 0 0 20 6 0 0 0 4 0 45 5 0 0 0 0 0
rc.4-4-sc.dft 94 true false false 34 0 0 15 4 0 0 0 4 0 33 4 0 0 0 0 0
rc.5-1-hc.dft 107 true false false 42 0 0 14 3 0 0 0 1 0 41 6 0 0 0 0 0
rc.5-1-sc.dft 75 true false false 30 0 0 9 1 0 0 0 1 0 29 5 0 0 0 0 0
rc.5-5-hc.dft 148 true false false 54 0 0 23 7 0 0 0 5 0 53 6 0 0 0 0 0
rc.5-5-sc.dft 116 true false false 42 0 0 18 5 0 0 0 5 0 41 5 0 0 0 0 0
