benchmarkName time maxStates maxTransitions
rc.1-1-hc.dft nan nan nan
rc.1-1-sc.dft 0 98 395
rc.1-10-hc.dft nan nan nan
rc.1-10-sc.dft nan nan nan
rc.1-15-hc.dft nan nan nan
rc.1-15-sc.dft nan nan nan
rc.1-2-hc.dft nan nan nan
rc.1-2-sc.dft 31 1312 5260
rc.1-20-hc.dft nan nan nan
rc.1-20-sc.dft nan nan nan
rc.1-25-hc.dft nan nan nan
rc.1-25-sc.dft nan nan nan
rc.1-3-hc.dft nan nan nan
rc.1-3-sc.dft 359 16568 65380
rc.1-30-hc.dft nan nan nan
rc.1-30-sc.dft nan nan nan
rc.1-4-hc.dft nan nan nan
rc.1-4-sc.dft 4797 200032 779040
rc.1-5-hc.dft nan nan nan
rc.1-5-sc.dft nan nan nan
rc.10-1-hc.dft nan nan nan
rc.10-1-sc.dft nan nan nan
rc.10-10-hc.dft nan nan nan
rc.10-10-sc.dft nan nan nan
rc.15-1-hc.dft nan nan nan
rc.15-1-sc.dft nan nan nan
rc.15-15-hc.dft nan nan nan
rc.15-15-sc.dft nan nan nan
rc.2-1-hc.dft nan nan nan
rc.2-1-sc.dft 15 462 3025
rc.2-2-hc.dft nan nan nan
rc.2-2-sc.dft 234 6448 36800
rc.2-3-hc.dft nan nan nan
rc.2-3-sc.dft 3031 82392 431900
rc.2-4-hc.dft nan nan nan
rc.2-4-sc.dft nan nan nan
rc.20-1-hc.dft nan nan nan
rc.20-1-sc.dft nan nan nan
rc.20-20-hc.dft nan nan nan
rc.20-20-sc.dft nan nan nan
rc.25-1-hc.dft nan nan nan
rc.25-1-sc.dft nan nan nan
rc.25-25-hc.dft nan nan nan
rc.25-25-sc.dft nan nan nan
rc.3-1-hc.dft nan nan nan
rc.3-1-sc.dft 140 2266 20375
rc.3-2-hc.dft nan nan nan
rc.3-2-sc.dft 1766 32064 236500
rc.3-3-hc.dft nan nan nan
rc.3-3-sc.dft nan nan nan
rc.3-4-hc.dft nan nan nan
rc.3-4-sc.dft nan nan nan
rc.30-1-hc.dft nan nan nan
rc.30-1-sc.dft nan nan nan
rc.30-30-hc.dft nan nan nan
rc.30-30-sc.dft nan nan nan
rc.4-1-hc.dft nan nan nan
rc.4-1-sc.dft 1000 11270 128125
rc.4-2-hc.dft nan nan nan
rc.4-2-sc.dft nan nan nan
rc.4-3-hc.dft nan nan nan
rc.4-3-sc.dft nan nan nan
rc.4-4-hc.dft nan nan nan
rc.4-4-sc.dft nan nan nan
rc.5-1-hc.dft nan nan nan
rc.5-1-sc.dft nan nan nan
rc.5-5-hc.dft nan nan nan
rc.5-5-sc.dft nan nan nan
