benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
rc.1-1-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.1-1-sc.dft 31 26 165 0 0 0 26
rc.1-10-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.1-10-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.1-15-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.1-15-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.1-2-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.1-2-sc.dft 220 123 1022 0 0 2 121
rc.1-20-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.1-20-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.1-25-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.1-25-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.1-3-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.1-3-sc.dft 1908 601 6174 0 0 11 590
rc.1-30-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.1-30-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.1-4-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.1-4-sc.dft 38979 3007 36722 0 0 52 2955
rc.1-5-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.1-5-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.10-1-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.10-1-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.10-10-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.10-10-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.15-1-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.15-1-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.15-15-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.15-15-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.2-1-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.2-1-sc.dft 297 124 1329 0 0 4 120
rc.2-2-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.2-2-sc.dft 3074 599 7578 0 0 26 573
rc.2-3-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.2-3-sc.dft 66379 2963 43176 0 0 101 2862
rc.2-4-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.2-4-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.20-1-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.20-1-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.20-20-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.20-20-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.25-1-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.25-1-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.25-25-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.25-25-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.3-1-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.3-1-sc.dft 3968 600 9053 0 0 30 570
rc.3-2-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.3-2-sc.dft 99306 2928 49573 0 0 159 2769
rc.3-3-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.3-3-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.3-4-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.3-4-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.30-1-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.30-1-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.30-30-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.30-30-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.4-1-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.4-1-sc.dft 116199 2934 56695 0 0 170 2764
rc.4-2-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.4-2-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.4-3-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.4-3-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.4-4-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.4-4-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.5-1-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.5-1-sc.dft N/A N/A N/A N/A N/A N/A N/A
rc.5-5-hc.dft N/A N/A N/A N/A N/A N/A N/A
rc.5-5-sc.dft N/A N/A N/A N/A N/A N/A N/A
