benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
rc.1-1-hc.dft 1200000 1 N/A N/A N/A N/A
rc.1-1-sc.dft 102 1 N/A 26 3 3
rc.1-10-hc.dft 1200000 1 N/A N/A N/A N/A
rc.1-10-sc.dft 1200000 1 N/A N/A N/A N/A
rc.1-15-hc.dft 1200000 1 N/A N/A N/A N/A
rc.1-15-sc.dft 1200000 1 N/A N/A N/A N/A
rc.1-2-hc.dft 1200000 1 N/A N/A N/A N/A
rc.1-2-sc.dft 362 1 N/A 37 10 10
rc.1-20-hc.dft 1800000 1 N/A N/A N/A N/A
rc.1-20-sc.dft 1800000 1 N/A N/A N/A N/A
rc.1-25-hc.dft 1800000 1 N/A N/A N/A N/A
rc.1-25-sc.dft 1200000 1 N/A N/A N/A N/A
rc.1-3-hc.dft 1200000 1 N/A N/A N/A N/A
rc.1-3-sc.dft 4327 1 N/A 47 40 40
rc.1-30-hc.dft 1800000 1 N/A N/A N/A N/A
rc.1-30-sc.dft 1800000 1 N/A N/A N/A N/A
rc.1-4-hc.dft 1200000 1 N/A N/A N/A N/A
rc.1-4-sc.dft 92970 1 N/A 57 150 150
rc.1-5-hc.dft 1200000 1 N/A N/A N/A N/A
rc.1-5-sc.dft 1200000 1 N/A N/A N/A N/A
rc.10-1-hc.dft 1200000 1 N/A N/A N/A N/A
rc.10-1-sc.dft 1200000 1 N/A N/A N/A N/A
rc.10-10-hc.dft 1200000 1 N/A N/A N/A N/A
rc.10-10-sc.dft 1200000 1 N/A N/A N/A N/A
rc.15-1-hc.dft 1200000 1 N/A N/A N/A N/A
rc.15-1-sc.dft 1200000 1 N/A N/A N/A N/A
rc.15-15-hc.dft 1200000 1 N/A N/A N/A N/A
rc.15-15-sc.dft 1200000 1 N/A N/A N/A N/A
rc.2-1-hc.dft 1200000 1 N/A N/A N/A N/A
rc.2-1-sc.dft 482 1 N/A 39 7 7
rc.2-2-hc.dft 1200000 1 N/A N/A N/A N/A
rc.2-2-sc.dft 6168 1 N/A 50 38 38
rc.2-3-hc.dft 1200000 1 N/A N/A N/A N/A
rc.2-3-sc.dft 137623 1 N/A 60 186 186
rc.2-4-hc.dft 1200000 1 N/A N/A N/A N/A
rc.2-4-sc.dft 1200000 1 N/A N/A N/A N/A
rc.20-1-hc.dft 1200000 1 N/A N/A N/A N/A
rc.20-1-sc.dft 1200000 1 N/A N/A N/A N/A
rc.20-20-hc.dft 1200000 1 N/A N/A N/A N/A
rc.20-20-sc.dft 1800000 1 N/A N/A N/A N/A
rc.25-1-hc.dft 1200000 1 N/A N/A N/A N/A
rc.25-1-sc.dft 1200000 1 N/A N/A N/A N/A
rc.25-25-hc.dft 1800000 1 N/A N/A N/A N/A
rc.25-25-sc.dft 1200000 1 N/A N/A N/A N/A
rc.3-1-hc.dft 1200000 1 N/A N/A N/A N/A
rc.3-1-sc.dft 8145 1 N/A 51 33 33
rc.3-2-hc.dft 1200000 1 N/A N/A N/A N/A
rc.3-2-sc.dft 197737 1 N/A 62 213 213
rc.3-3-hc.dft 1200000 1 N/A N/A N/A N/A
rc.3-3-sc.dft 1200000 1 N/A N/A N/A N/A
rc.3-4-hc.dft 1200000 1 N/A N/A N/A N/A
rc.3-4-sc.dft 1200000 1 N/A N/A N/A N/A
rc.30-1-hc.dft 1200000 1 N/A N/A N/A N/A
rc.30-1-sc.dft 1200000 1 N/A N/A N/A N/A
rc.30-30-hc.dft 1200000 1 N/A N/A N/A N/A
rc.30-30-sc.dft 1200000 1 N/A N/A N/A N/A
rc.4-1-hc.dft 1200000 1 N/A N/A N/A N/A
rc.4-1-sc.dft 248425 1 N/A 63 201 201
rc.4-2-hc.dft 1200000 1 N/A N/A N/A N/A
rc.4-2-sc.dft 1200000 1 N/A N/A N/A N/A
rc.4-3-hc.dft 1200000 1 N/A N/A N/A N/A
rc.4-3-sc.dft 1200000 1 N/A N/A N/A N/A
rc.4-4-hc.dft 1200000 1 N/A N/A N/A N/A
rc.4-4-sc.dft 1200000 1 N/A N/A N/A N/A
rc.5-1-hc.dft 1200000 1 N/A N/A N/A N/A
rc.5-1-sc.dft 1200000 1 N/A N/A N/A N/A
rc.5-5-hc.dft 1200000 1 N/A N/A N/A N/A
rc.5-5-sc.dft 1200000 1 N/A N/A N/A N/A
