benchmarkName,countNodes,dynamic,repair,partialObservable,FAULT,AND,OR,VOTE,SPARE,POR_I,PAND_I,SAND,POR,PAND,BASIC_EVENT,FDEP,RDEP,PDEP,MONITOR,DELAY,SEQ
AHRS-1.dft,18,true,false,false,7,0,1,0,2,0,0,0,0,0,6,2,0,0,0,0,0
AHRS-2.dft,23,true,false,false,9,1,0,0,2,0,0,0,0,0,8,3,0,0,0,0,0
CAS.dft,27,true,false,false,10,1,2,0,3,0,0,0,0,1,9,1,0,0,0,0,0
DCAS.dft,31,true,false,false,11,1,3,0,4,0,0,0,0,1,10,1,0,0,0,0,0
EMA.dft,54,true,false,false,20,1,9,0,2,0,0,0,0,0,19,2,0,0,0,0,1
MAS-2.dft,96,true,false,false,35,8,2,2,14,0,0,0,0,0,34,1,0,0,0,0,0
MAS.dft,92,true,false,false,31,12,4,0,14,0,0,0,0,0,30,1,0,0,0,0,0
cm_1_1_10_dp_x.dft,140,true,false,false,49,2,21,0,20,0,0,0,0,0,48,0,0,0,0,0,0
cm_1_1_10_sp_x.dft,137,true,false,false,48,1,21,0,20,0,0,0,0,0,47,0,0,0,0,0,0
cm_1_1_11_dp_x.dft,152,true,false,false,53,2,23,0,22,0,0,0,0,0,52,0,0,0,0,0,0
cm_1_1_11_sp_x.dft,149,true,false,false,52,1,23,0,22,0,0,0,0,0,51,0,0,0,0,0,0
cm_1_1_12_dp_x.dft,166,true,false,false,58,2,25,0,24,0,0,0,0,0,57,0,0,0,0,0,0
cm_1_1_12_sp_x.dft,163,true,false,false,57,1,25,0,24,0,0,0,0,0,56,0,0,0,0,0,0
cm_1_1_13_sp_x.dft,175,true,false,false,61,1,27,0,26,0,0,0,0,0,60,0,0,0,0,0,0
cm_1_1_14_sp_x.dft,189,true,false,false,66,1,29,0,28,0,0,0,0,0,65,0,0,0,0,0,0
cm_1_1_2_dp_x.dft,36,true,false,false,13,2,5,0,4,0,0,0,0,0,12,0,0,0,0,0,0
cm_1_1_2_sp_x.dft,33,true,false,false,12,1,5,0,4,0,0,0,0,0,11,0,0,0,0,0,0
cm_1_1_3_dp_x.dft,48,true,false,false,17,2,7,0,6,0,0,0,0,0,16,0,0,0,0,0,0
cm_1_1_3_sp_x.dft,45,true,false,false,16,1,7,0,6,0,0,0,0,0,15,0,0,0,0,0,0
cm_1_1_4_dp_x.dft,62,true,false,false,22,2,9,0,8,0,0,0,0,0,21,0,0,0,0,0,0
cm_1_1_4_sp_x.dft,59,true,false,false,21,1,9,0,8,0,0,0,0,0,20,0,0,0,0,0,0
cm_1_1_5_dp_x.dft,74,true,false,false,26,2,11,0,10,0,0,0,0,0,25,0,0,0,0,0,0
