benchmarkName time removedStates removedTransitions
AHRS-1.dft 27 7 16
AHRS-2.dft 33 17 45
CAS.dft 24 6 4
DCAS.dft 28 8 5
EMA.dft 19 2 4
MAS-2.dft 207 262 390
MAS.dft N/A N/A N/A
cm_1_1_10_dp_x.dft 21 15 15
cm_1_1_10_sp_x.dft N/A N/A N/A
cm_1_1_11_dp_x.dft 43 30 30
cm_1_1_11_sp_x.dft 4 3 3
cm_1_1_12_dp_x.dft 13 9 9
cm_1_1_12_sp_x.dft 16 12 12
cm_1_1_13_sp_x.dft 30 21 21
cm_1_1_14_sp_x.dft 28 21 21
cm_1_1_2_dp_x.dft 23 11 13
cm_1_1_2_sp_x.dft 25 11 13
cm_1_1_3_dp_x.dft 51 20 27
cm_1_1_3_sp_x.dft 48 20 27
cm_1_1_4_dp_x.dft 110 64 158
cm_1_1_4_sp_x.dft 107 64 158
cm_1_1_5_dp_x.dft 243 121 358
cm_1_1_5_sp_x.dft 229 120 352
cm_1_1_6_dp_x.dft 977 478 2025
cm_1_1_6_sp_x.dft 905 478 2025
cm_1_1_7_dp_x.dft 5792 939 4455
cm_1_1_7_sp_x.dft 3223 943 4481
cm_1_1_8_dp_x.dft 26 18 18
cm_1_1_8_sp_x.dft N/A N/A N/A
cm_1_1_9_dp_x.dft 8 6 6
cm_1_1_9_sp_x.dft 52 21 21
cm_2_1_2_dp_x.dft 46 22 26
cm_2_1_2_sp_x.dft 43 22 26
cm_2_1_3_dp_x.dft 90 40 54
cm_2_1_3_sp_x.dft 93 40 54
cm_2_1_4_dp_x.dft 213 128 316
cm_2_1_4_sp_x.dft 225 128 316
cm_2_2_2_dp_x.dft 63 22 26
cm_2_2_2_sp_x.dft 46 22 26
cm_2_2_3_dp_x.dft 94 40 54
cm_2_2_3_sp_x.dft 85 40 54
cm_2_2_4_dp_x.dft 211 128 316
cm_2_2_4_sp_x.dft 205 128 316
cm_3_1_2_dp_x.dft 83 33 39
cm_3_1_2_sp_x.dft 69 33 39
cm_3_1_3_dp_x.dft 132 60 81
cm_3_1_3_sp_x.dft 132 60 81
cm_3_1_4_dp_x.dft 319 192 474
cm_3_1_4_sp_x.dft 313 192 474
cm_3_2_2_dp_x.dft 75 33 39
cm_3_2_2_sp_x.dft 67 33 39
cm_3_2_3_dp_x.dft 133 60 81
cm_3_2_3_sp_x.dft 127 60 81
cm_3_2_4_dp_x.dft 316 192 474
cm_3_2_4_sp_x.dft 311 192 474
cm_3_3_2_dp_x.dft 75 33 39
cm_3_3_2_sp_x.dft 74 33 39
cm_3_3_3_dp_x.dft 132 60 81
cm_3_3_3_sp_x.dft 130 60 81
cm_3_3_4_dp_x.dft 331 192 474
cm_3_3_4_sp_x.dft 321 192 474
hecs_1_1.dft 9 3 1
hecs_2_1.dft 18 6 2
hecs_2_2.dft 17 6 2
hecs_3_1.dft 26 9 3
hecs_3_3.dft 30 9 3
hecs_4_1.dft 35 12 4
hecs_4_2.dft 33 12 4
hecs_4_3.dft 34 12 4
hecs_4_4.dft 34 12 4
hecs_5_1.dft 43 15 5
hecs_5_5.dft 44 15 5
hecs_6_1.dft 55 18 6
hecs_6_6.dft 54 18 6
hecs_7_1.dft 64 21 7
hecs_7_7.dft 63 21 7
hecs_8_1.dft 71 24 8
hecs_8_8.dft 67 24 8
hemps.dft 19 4 6
nppwp.dft 37 9 28
rc.1-1-hc.dft 48 6 4
rc.1-1-sc.dft 8 3 3
rc.1-10-hc.dft 91 33 31
rc.1-10-sc.dft 81 30 30
rc.1-15-hc.dft 119 48 46
rc.1-15-sc.dft 113 45 45
rc.1-2-hc.dft 24 9 7
rc.1-2-sc.dft 14 6 6
rc.1-20-hc.dft 172 63 61
rc.1-20-sc.dft 146 60 60
rc.1-25-hc.dft 203 78 76
rc.1-25-sc.dft 217 75 75
rc.1-3-hc.dft 31 12 10
rc.1-3-sc.dft 21 9 9
rc.1-30-hc.dft 250 93 91
rc.1-30-sc.dft 249 90 90
rc.1-4-hc.dft 57 15 13
rc.1-4-sc.dft 39 12 12
rc.1-5-hc.dft 48 18 16
rc.1-5-sc.dft 38 15 15
rc.10-1-hc.dft 24 6 4
rc.10-1-sc.dft 10 3 3
rc.10-10-hc.dft 78 33 31
rc.10-10-sc.dft 72 30 30
rc.15-1-hc.dft 16 6 4
rc.15-1-sc.dft 7 3 3
rc.15-15-hc.dft 122 48 46
rc.15-15-sc.dft 126 45 45
rc.2-1-hc.dft 16 6 4
rc.2-1-sc.dft 7 3 3
rc.2-2-hc.dft 22 9 7
rc.2-2-sc.dft 15 6 6
rc.2-3-hc.dft 32 12 10
rc.2-3-sc.dft 22 9 9
rc.2-4-hc.dft 42 15 13
rc.2-4-sc.dft 30 12 12
