benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize
AHRS-1.dft 142 2 1 17 3
AHRS-2.dft 178 2 1 22 1
CAS.dft 158 9 7 27 2
DCAS.dft 157 7 4 31 2
EMA.dft 169 22 20 11 2
MAS-2.dft 1800000 24 21 95 35
MAS.dft 1800000 18 16 N/A N/A
cm_1_1_10_dp_x.dft 1800000 37 26 5 1
cm_1_1_10_sp_x.dft 1800000 35 24 N/A N/A
cm_1_1_11_dp_x.dft 1800000 40 28 5 1
cm_1_1_11_sp_x.dft 1800000 38 26 5 1
cm_1_1_12_dp_x.dft 1800000 43 30 5 1
cm_1_1_12_sp_x.dft 1800000 41 28 5 1
cm_1_1_13_sp_x.dft 1800000 44 30 5 1
cm_1_1_14_sp_x.dft 1800000 47 32 5 1
cm_1_1_2_dp_x.dft 159 13 10 32 3
cm_1_1_2_sp_x.dft 137 11 8 29 3
cm_1_1_3_dp_x.dft 248 16 12 44 5
cm_1_1_3_sp_x.dft 231 14 10 41 5
cm_1_1_4_dp_x.dft 451 19 14 58 12
cm_1_1_4_sp_x.dft 454 17 12 55 12
cm_1_1_5_dp_x.dft 925 22 16 70 22
cm_1_1_5_sp_x.dft 866 20 14 67 23
cm_1_1_6_dp_x.dft 3499 25 18 84 52
cm_1_1_6_sp_x.dft 3419 23 16 81 52
cm_1_1_7_dp_x.dft 20877 28 20 96 106
cm_1_1_7_sp_x.dft 14343 26 18 93 102
cm_1_1_8_dp_x.dft 1800000 31 22 5 1
cm_1_1_8_sp_x.dft 1800000 29 20 N/A N/A
cm_1_1_9_dp_x.dft 1800000 34 24 5 1
cm_1_1_9_sp_x.dft 1800000 32 22 5 1
cm_2_1_2_dp_x.dft 350 26 20 32 3
cm_2_1_2_sp_x.dft 317 22 16 29 3
cm_2_1_3_dp_x.dft 635 32 24 44 5
cm_2_1_3_sp_x.dft 582 28 20 41 5
cm_2_1_4_dp_x.dft 1230 38 28 58 12
cm_2_1_4_sp_x.dft 1187 34 24 55 12
cm_2_2_2_dp_x.dft 513 26 20 32 3
cm_2_2_2_sp_x.dft 324 22 16 29 3
cm_2_2_3_dp_x.dft 634 32 24 44 5
cm_2_2_3_sp_x.dft 611 28 20 41 5
cm_2_2_4_dp_x.dft 1201 38 28 58 12
cm_2_2_4_sp_x.dft 1165 34 24 55 12
cm_3_1_2_dp_x.dft 680 38 29 32 3
cm_3_1_2_sp_x.dft 601 32 23 29 3
cm_3_1_3_dp_x.dft 1249 47 35 44 5
cm_3_1_3_sp_x.dft 1144 41 29 41 5
cm_3_1_4_dp_x.dft 4025 56 41 58 12
cm_3_1_4_sp_x.dft 4125 50 35 55 12
cm_3_2_2_dp_x.dft 674 38 29 32 3
cm_3_2_2_sp_x.dft 592 32 23 29 3
cm_3_2_3_dp_x.dft 1260 47 35 44 5
cm_3_2_3_sp_x.dft 1164 41 29 41 5
cm_3_2_4_dp_x.dft 3848 56 41 58 12
cm_3_2_4_sp_x.dft 3751 50 35 55 12
cm_3_3_2_dp_x.dft 683 38 29 32 3
cm_3_3_2_sp_x.dft 590 32 23 29 3
cm_3_3_3_dp_x.dft 1240 47 35 44 5
cm_3_3_3_sp_x.dft 1129 41 29 41 5
cm_3_3_4_dp_x.dft 3904 56 41 58 12
cm_3_3_4_sp_x.dft 3731 50 35 55 12
hecs_1_1.dft 71 15 14 9 2
hecs_2_1.dft 206 30 28 9 2
hecs_2_2.dft 214 30 28 9 2
hecs_3_1.dft 425 44 41 9 2
hecs_3_3.dft 403 44 41 9 2
hecs_4_1.dft 670 58 54 9 2
hecs_4_2.dft 674 58 54 9 2
hecs_4_3.dft 657 58 54 9 2
hecs_4_4.dft 675 58 54 9 2
hecs_5_1.dft 995 72 67 9 2
hecs_5_5.dft 979 72 67 9 2
hecs_6_1.dft 1379 86 80 9 2
hecs_6_6.dft 1408 86 80 9 2
hecs_7_1.dft 1862 100 93 9 2
hecs_7_7.dft 1878 100 93 9 2
hecs_8_1.dft 2472 114 106 9 2
hecs_8_8.dft 2494 114 106 9 2
hemps.dft 126 12 11 15 2
nppwp.dft 156 2 1 24 2
rc.1-1-hc.dft 415 35 33 10 2
rc.1-1-sc.dft 80 15 14 10 1
rc.1-10-hc.dft 1265 45 34 10 2
rc.1-10-sc.dft 884 25 15 10 1
rc.1-15-hc.dft 2105 50 34 10 2
rc.1-15-sc.dft 1612 30 15 10 1
rc.1-2-hc.dft 286 37 34 10 2
rc.1-2-sc.dft 118 17 15 10 1
rc.1-20-hc.dft 3205 55 34 10 2
rc.1-20-sc.dft 2543 35 15 10 1
rc.1-25-hc.dft 4605 60 34 10 2
rc.1-25-sc.dft 3839 40 15 10 1
rc.1-3-hc.dft 374 38 34 10 2
rc.1-3-sc.dft 185 18 15 10 1
rc.1-30-hc.dft 6052 65 34 10 2
rc.1-30-sc.dft 5845 45 15 10 1
rc.1-4-hc.dft 571 39 34 10 2
rc.1-4-sc.dft 365 19 15 10 1
rc.1-5-hc.dft 685 40 34 10 2
rc.1-5-sc.dft 406 20 15 10 1
rc.10-1-hc.dft 1286 135 133 10 2
rc.10-1-sc.dft 999 115 114 10 1
rc.10-10-hc.dft 2830 145 134 10 2
rc.10-10-sc.dft 2207 125 115 10 1
rc.15-1-hc.dft 1791 190 188 10 2
rc.15-1-sc.dft 1315 170 169 10 1
rc.15-15-hc.dft 5484 205 189 10 2
rc.15-15-sc.dft 5011 185 170 10 1
rc.2-1-hc.dft 263 47 45 10 2
rc.2-1-sc.dft 99 27 26 10 1
rc.2-2-hc.dft 350 49 46 10 2
rc.2-2-sc.dft 168 29 27 10 1
rc.2-3-hc.dft 444 50 46 10 2
rc.2-3-sc.dft 228 30 27 10 1
rc.2-4-hc.dft 587 51 46 10 2
rc.2-4-sc.dft 313 31 27 10 1
rc.20-1-hc.dft 2834 245 243 10 2
rc.20-1-sc.dft 2206 225 224 10 1
rc.20-20-hc.dft 8912 265 244 10 2
rc.20-20-sc.dft 8221 245 225 10 1
rc.25-1-hc.dft 4056 300 298 10 2
rc.25-1-sc.dft 3268 280 279 10 1
rc.25-25-hc.dft 13481 325 299 10 2
rc.25-25-sc.dft 12022 305 280 10 1
rc.3-1-hc.dft 311 58 56 10 2
rc.3-1-sc.dft 145 38 37 10 1
rc.3-2-hc.dft 423 60 57 10 2
rc.3-2-sc.dft 210 40 38 10 1
rc.3-3-hc.dft 593 61 57 10 2
rc.3-3-sc.dft 292 41 38 10 1
rc.3-4-hc.dft 654 62 57 10 2
rc.3-4-sc.dft 385 42 38 10 1
rc.30-1-hc.dft 5380 355 353 10 2
rc.30-1-sc.dft 4577 335 334 10 1
rc.30-30-hc.dft 18576 385 354 10 2
rc.30-30-sc.dft 17528 365 335 10 1
rc.4-1-hc.dft 384 69 67 10 2
rc.4-1-sc.dft 183 49 48 10 1
rc.4-2-hc.dft 500 71 68 10 2
rc.4-2-sc.dft 267 51 49 10 1
rc.4-3-hc.dft 642 72 68 10 2
rc.4-3-sc.dft 357 52 49 10 1
rc.4-4-hc.dft 751 73 68 10 2
rc.4-4-sc.dft 458 53 49 10 1
rc.5-1-hc.dft 481 80 78 10 2
rc.5-1-sc.dft 242 60 59 10 1
rc.5-5-hc.dft 1014 85 79 10 2
rc.5-5-sc.dft 653 65 60 10 1
vgs_1.dft 1967 82 82 N/A N/A
vgs_2.dft 1636 79 79 N/A N/A
vgs_3.dft 1049 68 68 N/A N/A
vgs_4.dft 2863 7 6 153 8
vgs_5.dft 1177 61 61 N/A N/A
vgs_6.dft 1366 74 74 N/A N/A
vgs_7.dft 2529 117 117 N/A N/A
vgs_8.dft 3345 138 138 N/A N/A
