benchmarkName time removedStates removedTransitions
AHRS-1.dft 85 5 10
AHRS-2.dft 77 20 28
CAS.dft 278 28 122
DCAS.dft 495 21 105
EMA.dft 377 35 360
MAS-2.dft N/A N/A N/A
MAS.dft N/A N/A N/A
cm_1_1_10_dp_x.dft N/A N/A N/A
cm_1_1_10_sp_x.dft N/A N/A N/A
cm_1_1_11_dp_x.dft N/A N/A N/A
cm_1_1_11_sp_x.dft N/A N/A N/A
cm_1_1_12_dp_x.dft N/A N/A N/A
cm_1_1_12_sp_x.dft N/A N/A N/A
cm_1_1_13_sp_x.dft N/A N/A N/A
cm_1_1_14_sp_x.dft N/A N/A N/A
cm_1_1_2_dp_x.dft 1082 232 1687
cm_1_1_2_sp_x.dft 284 76 538
cm_1_1_3_dp_x.dft 41200 2427 23338
cm_1_1_3_sp_x.dft 5152 804 7494
cm_1_1_4_dp_x.dft N/A N/A N/A
cm_1_1_4_sp_x.dft N/A N/A N/A
cm_1_1_5_dp_x.dft N/A N/A N/A
cm_1_1_5_sp_x.dft N/A N/A N/A
cm_1_1_6_dp_x.dft N/A N/A N/A
cm_1_1_6_sp_x.dft N/A N/A N/A
cm_1_1_7_dp_x.dft N/A N/A N/A
cm_1_1_7_sp_x.dft N/A N/A N/A
cm_1_1_8_dp_x.dft N/A N/A N/A
cm_1_1_8_sp_x.dft N/A N/A N/A
cm_1_1_9_dp_x.dft N/A N/A N/A
cm_1_1_9_sp_x.dft N/A N/A N/A
cm_2_1_2_dp_x.dft N/A N/A N/A
cm_2_1_2_sp_x.dft N/A N/A N/A
cm_2_1_3_dp_x.dft N/A N/A N/A
cm_2_1_3_sp_x.dft N/A N/A N/A
cm_2_1_4_dp_x.dft N/A N/A N/A
cm_2_1_4_sp_x.dft N/A N/A N/A
cm_2_2_2_dp_x.dft N/A N/A N/A
cm_2_2_2_sp_x.dft N/A N/A N/A
cm_2_2_3_dp_x.dft N/A N/A N/A
cm_2_2_3_sp_x.dft N/A N/A N/A
cm_2_2_4_dp_x.dft N/A N/A N/A
cm_2_2_4_sp_x.dft N/A N/A N/A
cm_3_1_2_dp_x.dft N/A N/A N/A
cm_3_1_2_sp_x.dft N/A N/A N/A
cm_3_1_3_dp_x.dft N/A N/A N/A
cm_3_1_3_sp_x.dft N/A N/A N/A
cm_3_1_4_dp_x.dft N/A N/A N/A
cm_3_1_4_sp_x.dft N/A N/A N/A
cm_3_2_2_dp_x.dft N/A N/A N/A
cm_3_2_2_sp_x.dft N/A N/A N/A
cm_3_2_3_dp_x.dft N/A N/A N/A
cm_3_2_3_sp_x.dft N/A N/A N/A
cm_3_2_4_dp_x.dft N/A N/A N/A
cm_3_2_4_sp_x.dft N/A N/A N/A
cm_3_3_2_dp_x.dft N/A N/A N/A
cm_3_3_2_sp_x.dft N/A N/A N/A
cm_3_3_3_dp_x.dft N/A N/A N/A
cm_3_3_3_sp_x.dft N/A N/A N/A
cm_3_3_4_dp_x.dft N/A N/A N/A
cm_3_3_4_sp_x.dft N/A N/A N/A
hecs_1_1.dft 1556 125 903
hecs_2_1.dft N/A N/A N/A
hecs_2_2.dft N/A N/A N/A
hecs_3_1.dft N/A N/A N/A
hecs_3_3.dft N/A N/A N/A
hecs_4_1.dft N/A N/A N/A
hecs_4_2.dft N/A N/A N/A
hecs_4_3.dft N/A N/A N/A
hecs_4_4.dft N/A N/A N/A
hecs_5_1.dft N/A N/A N/A
hecs_5_5.dft N/A N/A N/A
hecs_6_1.dft N/A N/A N/A
hecs_6_6.dft N/A N/A N/A
hecs_7_1.dft N/A N/A N/A
hecs_7_7.dft N/A N/A N/A
hecs_8_1.dft N/A N/A N/A
hecs_8_8.dft N/A N/A N/A
hemps.dft 218 74 371
nppwp.dft 45 14 24
rc.1-1-hc.dft N/A N/A N/A
rc.1-1-sc.dft 84 26 165
rc.1-10-hc.dft N/A N/A N/A
rc.1-10-sc.dft N/A N/A N/A
rc.1-15-hc.dft N/A N/A N/A
rc.1-15-sc.dft N/A N/A N/A
rc.1-2-hc.dft N/A N/A N/A
rc.1-2-sc.dft 848 123 1022
rc.1-20-hc.dft N/A N/A N/A
rc.1-20-sc.dft N/A N/A N/A
rc.1-25-hc.dft N/A N/A N/A
rc.1-25-sc.dft N/A N/A N/A
rc.1-3-hc.dft N/A N/A N/A
rc.1-3-sc.dft 3225 601 6174
rc.1-30-hc.dft N/A N/A N/A
rc.1-30-sc.dft N/A N/A N/A
rc.1-4-hc.dft N/A N/A N/A
rc.1-4-sc.dft 78563 3005 36694
rc.1-5-hc.dft N/A N/A N/A
rc.1-5-sc.dft N/A N/A N/A
rc.10-1-hc.dft N/A N/A N/A
rc.10-1-sc.dft N/A N/A N/A
rc.10-10-hc.dft N/A N/A N/A
rc.10-10-sc.dft N/A N/A N/A
rc.15-1-hc.dft N/A N/A N/A
rc.15-1-sc.dft N/A N/A N/A
rc.15-15-hc.dft N/A N/A N/A
rc.15-15-sc.dft N/A N/A N/A
rc.2-1-hc.dft N/A N/A N/A
rc.2-1-sc.dft 508 124 1329
rc.2-2-hc.dft N/A N/A N/A
rc.2-2-sc.dft 4994 599 7578
rc.2-3-hc.dft N/A N/A N/A
rc.2-3-sc.dft 115541 2961 43136
rc.2-4-hc.dft N/A N/A N/A
rc.2-4-sc.dft N/A N/A N/A
rc.20-1-hc.dft N/A N/A N/A
rc.20-1-sc.dft N/A N/A N/A
rc.20-20-hc.dft N/A N/A N/A
rc.20-20-sc.dft N/A N/A N/A
rc.25-1-hc.dft N/A N/A N/A
rc.25-1-sc.dft N/A N/A N/A
rc.25-25-hc.dft N/A N/A N/A
rc.25-25-sc.dft N/A N/A N/A
rc.3-1-hc.dft N/A N/A N/A
rc.3-1-sc.dft 6237 600 9053
rc.3-2-hc.dft N/A N/A N/A
rc.3-2-sc.dft 177498 2929 49592
rc.3-3-hc.dft N/A N/A N/A
rc.3-3-sc.dft N/A N/A N/A
rc.3-4-hc.dft N/A N/A N/A
rc.3-4-sc.dft N/A N/A N/A
rc.30-1-hc.dft N/A N/A N/A
rc.30-1-sc.dft N/A N/A N/A
rc.30-30-hc.dft N/A N/A N/A
rc.30-30-sc.dft N/A N/A N/A
rc.4-1-hc.dft N/A N/A N/A
rc.4-1-sc.dft 225495 2936 56744
rc.4-2-hc.dft N/A N/A N/A
rc.4-2-sc.dft N/A N/A N/A
rc.4-3-hc.dft N/A N/A N/A
rc.4-3-sc.dft N/A N/A N/A
rc.4-4-hc.dft N/A N/A N/A
rc.4-4-sc.dft N/A N/A N/A
rc.5-1-hc.dft N/A N/A N/A
rc.5-1-sc.dft N/A N/A N/A
rc.5-5-hc.dft N/A N/A N/A
rc.5-5-sc.dft N/A N/A N/A
vgs_1.dft N/A N/A N/A
vgs_2.dft N/A N/A N/A
vgs_3.dft N/A N/A N/A
vgs_4.dft N/A N/A N/A
vgs_5.dft N/A N/A N/A
vgs_6.dft N/A N/A N/A
vgs_7.dft N/A N/A N/A
vgs_8.dft N/A N/A N/A
