benchmarkName countNodes dynamic repair partialObservable FAULT AND OR VOTE SPARE POR_I PAND_I SAND POR PAND BASIC_EVENT FDEP RDEP PDEP MONITOR DELAY SEQ
AHRS-1-repair.dft 18 true true false 7 0 1 0 2 0 0 0 0 0 6 2 0 0 0 0 0
AHRS-2-repair.dft 23 true true false 9 1 0 0 2 0 0 0 0 0 8 3 0 0 0 0 0
CAS-repair.dft 27 true true false 10 1 2 0 3 0 0 0 0 1 9 1 0 0 0 0 0
DCAS-repair.dft 31 true true false 11 1 3 0 4 0 0 0 0 1 10 1 0 0 0 0 0
EMA-repair.dft 54 true true false 20 1 9 0 2 0 0 0 0 0 19 2 0 0 0 0 1
MAS-2-repair.dft 96 true true false 35 8 2 2 14 0 0 0 0 0 34 1 0 0 0 0 0
MAS-repair.dft 92 true true false 31 12 4 0 14 0 0 0 0 0 30 1 0 0 0 0 0
cm_1_1_10_dp_x-repair.dft 140 true true false 49 2 21 0 20 0 0 0 0 0 48 0 0 0 0 0 0
cm_1_1_10_sp_x-repair.dft 137 true true false 48 1 21 0 20 0 0 0 0 0 47 0 0 0 0 0 0
cm_1_1_11_dp_x-repair.dft 152 true true false 53 2 23 0 22 0 0 0 0 0 52 0 0 0 0 0 0
cm_1_1_11_sp_x-repair.dft 149 true true false 52 1 23 0 22 0 0 0 0 0 51 0 0 0 0 0 0
cm_1_1_12_dp_x-repair.dft 166 true true false 58 2 25 0 24 0 0 0 0 0 57 0 0 0 0 0 0
cm_1_1_12_sp_x-repair.dft 163 true true false 57 1 25 0 24 0 0 0 0 0 56 0 0 0 0 0 0
cm_1_1_13_sp_x-repair.dft 175 true true false 61 1 27 0 26 0 0 0 0 0 60 0 0 0 0 0 0
cm_1_1_14_sp_x-repair.dft 189 true true false 66 1 29 0 28 0 0 0 0 0 65 0 0 0 0 0 0
cm_1_1_2_dp_x-repair.dft 36 true true false 13 2 5 0 4 0 0 0 0 0 12 0 0 0 0 0 0
cm_1_1_2_sp_x-repair.dft 33 true true false 12 1 5 0 4 0 0 0 0 0 11 0 0 0 0 0 0
