benchmarkName,time,maxStates,maxTransitions
AHRS-1-repair.dft,121,506,1466
AHRS-2-repair.dft,795,6118,27856
CAS-repair.dft,842,11936,54676
DCAS-repair.dft,1560,43008,206805
EMA-repair.dft,N/A,N/A,N/A
MAS-2-repair.dft,N/A,N/A,N/A
MAS-repair.dft,N/A,N/A,N/A
cm_1_1_10_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_10_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_11_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_11_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_12_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_12_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_13_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_14_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_2_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_2_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_3_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_3_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_4_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_4_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_5_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_5_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_6_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_6_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_7_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_7_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_8_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_8_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_9_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_9_sp_x-repair.dft,N/A,N/A,N/A
cm_2_1_2_dp_x-repair.dft,N/A,N/A,N/A
cm_2_1_2_sp_x-repair.dft,N/A,N/A,N/A
cm_2_1_3_dp_x-repair.dft,N/A,N/A,N/A
cm_2_1_3_sp_x-repair.dft,N/A,N/A,N/A
cm_2_1_4_dp_x-repair.dft,N/A,N/A,N/A
cm_2_1_4_sp_x-repair.dft,N/A,N/A,N/A
cm_2_2_2_dp_x-repair.dft,N/A,N/A,N/A
cm_2_2_2_sp_x-repair.dft,N/A,N/A,N/A
cm_2_2_3_dp_x-repair.dft,N/A,N/A,N/A
cm_2_2_3_sp_x-repair.dft,N/A,N/A,N/A
cm_2_2_4_dp_x-repair.dft,N/A,N/A,N/A
cm_2_2_4_sp_x-repair.dft,N/A,N/A,N/A
cm_3_1_2_dp_x-repair.dft,N/A,N/A,N/A
cm_3_1_2_sp_x-repair.dft,N/A,N/A,N/A
cm_3_1_3_dp_x-repair.dft,N/A,N/A,N/A
cm_3_1_3_sp_x-repair.dft,N/A,N/A,N/A
cm_3_1_4_dp_x-repair.dft,N/A,N/A,N/A
cm_3_1_4_sp_x-repair.dft,N/A,N/A,N/A
cm_3_2_2_dp_x-repair.dft,N/A,N/A,N/A
cm_3_2_2_sp_x-repair.dft,N/A,N/A,N/A
cm_3_2_3_dp_x-repair.dft,N/A,N/A,N/A
cm_3_2_3_sp_x-repair.dft,N/A,N/A,N/A
cm_3_2_4_dp_x-repair.dft,N/A,N/A,N/A
cm_3_2_4_sp_x-repair.dft,N/A,N/A,N/A
cm_3_3_2_dp_x-repair.dft,N/A,N/A,N/A
cm_3_3_2_sp_x-repair.dft,N/A,N/A,N/A
cm_3_3_3_dp_x-repair.dft,N/A,N/A,N/A
cm_3_3_3_sp_x-repair.dft,N/A,N/A,N/A
cm_3_3_4_dp_x-repair.dft,N/A,N/A,N/A
cm_3_3_4_sp_x-repair.dft,N/A,N/A,N/A
hecs_1_1-repair.dft,1002,24576,168448
hecs_2_1-repair.dft,N/A,N/A,N/A
hecs_2_2-repair.dft,N/A,N/A,N/A
hecs_3_1-repair.dft,N/A,N/A,N/A
hecs_3_3-repair.dft,N/A,N/A,N/A
hecs_4_1-repair.dft,N/A,N/A,N/A
hecs_4_2-repair.dft,N/A,N/A,N/A
hecs_4_3-repair.dft,N/A,N/A,N/A
hecs_4_4-repair.dft,N/A,N/A,N/A
hecs_5_1-repair.dft,N/A,N/A,N/A
hecs_5_5-repair.dft,N/A,N/A,N/A
hecs_6_1-repair.dft,N/A,N/A,N/A
hecs_6_6-repair.dft,N/A,N/A,N/A
hecs_7_1-repair.dft,N/A,N/A,N/A
hecs_7_7-repair.dft,N/A,N/A,N/A
hecs_8_1-repair.dft,N/A,N/A,N/A
hecs_8_8-repair.dft,N/A,N/A,N/A
hemps-repair.dft,857,20160,117936
nppwp-repair.dft,89,2736,10492
rc.1-1-hc-repair.dft,N/A,N/A,N/A
rc.1-1-sc-repair.dft,150,3584,15744
rc.1-10-hc-repair.dft,N/A,N/A,N/A
rc.1-10-sc-repair.dft,N/A,N/A,N/A
rc.1-15-hc-repair.dft,N/A,N/A,N/A
rc.1-15-sc-repair.dft,N/A,N/A,N/A
rc.1-2-hc-repair.dft,N/A,N/A,N/A
rc.1-2-sc-repair.dft,N/A,N/A,N/A
rc.1-20-hc-repair.dft,N/A,N/A,N/A
