benchmarkName,time,removedStates,removedTransitions
AHRS-1-repair.dft,1830,0,4
AHRS-2-repair.dft,79,31,133
CAS-repair.dft,52274,0,8
DCAS-repair.dft,1214674,0,8
EMA-repair.dft,N/A,N/A,N/A
MAS-2-repair.dft,N/A,N/A,N/A
MAS-repair.dft,N/A,N/A,N/A
cm_1_1_10_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_10_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_11_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_11_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_12_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_12_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_13_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_14_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_2_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_2_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_3_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_3_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_4_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_4_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_5_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_5_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_6_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_6_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_7_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_7_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_8_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_8_sp_x-repair.dft,N/A,N/A,N/A
cm_1_1_9_dp_x-repair.dft,N/A,N/A,N/A
cm_1_1_9_sp_x-repair.dft,N/A,N/A,N/A
cm_2_1_2_dp_x-repair.dft,N/A,N/A,N/A
cm_2_1_2_sp_x-repair.dft,N/A,N/A,N/A
cm_2_1_3_dp_x-repair.dft,N/A,N/A,N/A
cm_2_1_3_sp_x-repair.dft,N/A,N/A,N/A
cm_2_1_4_dp_x-repair.dft,N/A,N/A,N/A
cm_2_1_4_sp_x-repair.dft,N/A,N/A,N/A
cm_2_2_2_dp_x-repair.dft,N/A,N/A,N/A
cm_2_2_2_sp_x-repair.dft,N/A,N/A,N/A
cm_2_2_3_dp_x-repair.dft,N/A,N/A,N/A
cm_2_2_3_sp_x-repair.dft,N/A,N/A,N/A
cm_2_2_4_dp_x-repair.dft,N/A,N/A,N/A
cm_2_2_4_sp_x-repair.dft,N/A,N/A,N/A
cm_3_1_2_dp_x-repair.dft,N/A,N/A,N/A
cm_3_1_2_sp_x-repair.dft,N/A,N/A,N/A
cm_3_1_3_dp_x-repair.dft,N/A,N/A,N/A
cm_3_1_3_sp_x-repair.dft,N/A,N/A,N/A
cm_3_1_4_dp_x-repair.dft,N/A,N/A,N/A
cm_3_1_4_sp_x-repair.dft,N/A,N/A,N/A
cm_3_2_2_dp_x-repair.dft,N/A,N/A,N/A
cm_3_2_2_sp_x-repair.dft,N/A,N/A,N/A
cm_3_2_3_dp_x-repair.dft,N/A,N/A,N/A
cm_3_2_3_sp_x-repair.dft,N/A,N/A,N/A
cm_3_2_4_dp_x-repair.dft,N/A,N/A,N/A
cm_3_2_4_sp_x-repair.dft,N/A,N/A,N/A
cm_3_3_2_dp_x-repair.dft,N/A,N/A,N/A
cm_3_3_2_sp_x-repair.dft,N/A,N/A,N/A
cm_3_3_3_dp_x-repair.dft,N/A,N/A,N/A
cm_3_3_3_sp_x-repair.dft,N/A,N/A,N/A
cm_3_3_4_dp_x-repair.dft,N/A,N/A,N/A
cm_3_3_4_sp_x-repair.dft,N/A,N/A,N/A
hecs_1_1-repair.dft,870784,0,11
hecs_2_1-repair.dft,N/A,N/A,N/A
hecs_2_2-repair.dft,N/A,N/A,N/A
hecs_3_1-repair.dft,N/A,N/A,N/A
hecs_3_3-repair.dft,N/A,N/A,N/A
hecs_4_1-repair.dft,N/A,N/A,N/A
hecs_4_2-repair.dft,N/A,N/A,N/A
hecs_4_3-repair.dft,N/A,N/A,N/A
