benchmarkName,time,countModules,countTrimmedModules,maxModuleSize,maxModuleRaSize
AHRS-1-repair.dft,2664,1,N/A,18,207
AHRS-2-repair.dft,2379,1,N/A,23,1
CAS-repair.dft,152223,1,N/A,28,5256
DCAS-repair.dft,3324255,1,N/A,32,20334
EMA-repair.dft,OOM,1,N/A,54,N/A
MAS-2-repair.dft,OOM,1,N/A,96,N/A
MAS-repair.dft,OOM,1,N/A,92,N/A
cm_1_1_10_dp_x-repair.dft,OOM,1,N/A,140,N/A
cm_1_1_10_sp_x-repair.dft,OOM,1,N/A,137,N/A
cm_1_1_11_dp_x-repair.dft,OOM,1,N/A,152,N/A
cm_1_1_11_sp_x-repair.dft,OOM,1,N/A,149,N/A
cm_1_1_12_dp_x-repair.dft,OOM,1,N/A,166,N/A
cm_1_1_12_sp_x-repair.dft,OOM,1,N/A,163,N/A
cm_1_1_13_sp_x-repair.dft,OOM,1,N/A,175,N/A
cm_1_1_14_sp_x-repair.dft,OOM,1,N/A,189,N/A
cm_1_1_2_dp_x-repair.dft,Timeout,1,N/A,36,N/A
cm_1_1_2_sp_x-repair.dft,Timeout,1,N/A,33,N/A
cm_1_1_3_dp_x-repair.dft,OOM,1,N/A,48,N/A
cm_1_1_3_sp_x-repair.dft,OOM,1,N/A,45,N/A
cm_1_1_4_dp_x-repair.dft,OOM,1,N/A,62,N/A
cm_1_1_4_sp_x-repair.dft,OOM,1,N/A,59,N/A
cm_1_1_5_dp_x-repair.dft,OOM,1,N/A,74,N/A
cm_1_1_5_sp_x-repair.dft,OOM,1,N/A,71,N/A
cm_1_1_6_dp_x-repair.dft,OOM,1,N/A,88,N/A
cm_1_1_6_sp_x-repair.dft,OOM,1,N/A,85,N/A
cm_1_1_7_dp_x-repair.dft,OOM,1,N/A,100,N/A
cm_1_1_7_sp_x-repair.dft,OOM,1,N/A,97,N/A
cm_1_1_8_dp_x-repair.dft,OOM,1,N/A,114,N/A
cm_1_1_8_sp_x-repair.dft,OOM,1,N/A,111,N/A
cm_1_1_9_dp_x-repair.dft,OOM,1,N/A,126,N/A
cm_1_1_9_sp_x-repair.dft,OOM,1,N/A,123,N/A
cm_2_1_2_dp_x-repair.dft,OOM,1,N/A,72,N/A
cm_2_1_2_sp_x-repair.dft,OOM,1,N/A,66,N/A
cm_2_1_3_dp_x-repair.dft,OOM,1,N/A,96,N/A
cm_2_1_3_sp_x-repair.dft,OOM,1,N/A,90,N/A
cm_2_1_4_dp_x-repair.dft,OOM,1,N/A,124,N/A
cm_2_1_4_sp_x-repair.dft,OOM,1,N/A,118,N/A
cm_2_2_2_dp_x-repair.dft,OOM,1,N/A,72,N/A
cm_2_2_2_sp_x-repair.dft,OOM,1,N/A,66,N/A
cm_2_2_3_dp_x-repair.dft,OOM,1,N/A,96,N/A
cm_2_2_3_sp_x-repair.dft,OOM,1,N/A,90,N/A
cm_2_2_4_dp_x-repair.dft,OOM,1,N/A,124,N/A
cm_2_2_4_sp_x-repair.dft,OOM,1,N/A,118,N/A
cm_3_1_2_dp_x-repair.dft,OOM,1,N/A,107,N/A
cm_3_1_2_sp_x-repair.dft,OOM,1,N/A,98,N/A
cm_3_1_3_dp_x-repair.dft,OOM,1,N/A,143,N/A
cm_3_1_3_sp_x-repair.dft,OOM,1,N/A,134,N/A
cm_3_1_4_dp_x-repair.dft,OOM,1,N/A,185,N/A
cm_3_1_4_sp_x-repair.dft,OOM,1,N/A,176,N/A
cm_3_2_2_dp_x-repair.dft,OOM,1,N/A,107,N/A
cm_3_2_2_sp_x-repair.dft,OOM,1,N/A,98,N/A
