benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize
AHRS-1.dft 332 1 N/A 18 3
AHRS-2.dft 485 1 N/A 23 5
CAS.dft 574 1 N/A 28 14
DCAS.dft 827 1 N/A 32 19
EMA.dft 844 1 N/A 54 7
MAS-2.dft 1800000 1 N/A N/A N/A
MAS.dft 1800000 1 N/A N/A N/A
cm_1_1_10_dp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_10_sp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_11_dp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_11_sp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_12_dp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_12_sp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_13_sp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_14_sp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_2_dp_x.dft 1869 1 N/A 36 65
cm_1_1_2_sp_x.dft 559 1 N/A 33 25
cm_1_1_3_dp_x.dft 97158 1 N/A 48 385
cm_1_1_3_sp_x.dft 12674 1 N/A 45 136
cm_1_1_4_dp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_4_sp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_5_dp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_5_sp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_6_dp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_6_sp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_7_dp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_7_sp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_8_dp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_8_sp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_9_dp_x.dft 1800000 1 N/A N/A N/A
cm_1_1_9_sp_x.dft 1800000 1 N/A N/A N/A
cm_2_1_2_dp_x.dft 1800000 1 N/A N/A N/A
cm_2_1_2_sp_x.dft 1800000 1 N/A N/A N/A
cm_2_1_3_dp_x.dft 1800000 1 N/A N/A N/A
cm_2_1_3_sp_x.dft 1800000 1 N/A N/A N/A
cm_2_1_4_dp_x.dft 1800000 1 N/A N/A N/A
cm_2_1_4_sp_x.dft 1800000 1 N/A N/A N/A
cm_2_2_2_dp_x.dft 1800000 1 N/A N/A N/A
cm_2_2_2_sp_x.dft 1800000 1 N/A N/A N/A
cm_2_2_3_dp_x.dft 1800000 1 N/A N/A N/A
cm_2_2_3_sp_x.dft 1800000 1 N/A N/A N/A
cm_2_2_4_dp_x.dft 1800000 1 N/A N/A N/A
cm_2_2_4_sp_x.dft 1800000 1 N/A N/A N/A
cm_3_1_2_dp_x.dft 1800000 1 N/A N/A N/A
cm_3_1_2_sp_x.dft 1800000 1 N/A N/A N/A
cm_3_1_3_dp_x.dft 1800000 1 N/A N/A N/A
cm_3_1_3_sp_x.dft 1800000 1 N/A N/A N/A
cm_3_1_4_dp_x.dft 1800000 1 N/A N/A N/A
cm_3_1_4_sp_x.dft 1800000 1 N/A N/A N/A
cm_3_2_2_dp_x.dft 1800000 1 N/A N/A N/A
cm_3_2_2_sp_x.dft 1800000 1 N/A N/A N/A
cm_3_2_3_dp_x.dft 1800000 1 N/A N/A N/A
cm_3_2_3_sp_x.dft 1800000 1 N/A N/A N/A
cm_3_2_4_dp_x.dft 1800000 1 N/A N/A N/A
cm_3_2_4_sp_x.dft 1800000 1 N/A N/A N/A
cm_3_3_2_dp_x.dft 1800000 1 N/A N/A N/A
cm_3_3_2_sp_x.dft 1800000 1 N/A N/A N/A
cm_3_3_3_dp_x.dft 1800000 1 N/A N/A N/A
cm_3_3_3_sp_x.dft 1800000 1 N/A N/A N/A
cm_3_3_4_dp_x.dft 1800000 1 N/A N/A N/A
cm_3_3_4_sp_x.dft 1800000 1 N/A N/A N/A
hecs_1_1.dft 2109 1 N/A 32 68
hecs_2_1.dft 1800000 1 N/A N/A N/A
hecs_2_2.dft 1800000 1 N/A N/A N/A
hecs_3_1.dft 1800000 1 N/A N/A N/A
hecs_3_3.dft 1800000 1 N/A N/A N/A
hecs_4_1.dft 1800000 1 N/A N/A N/A
hecs_4_2.dft 1800000 1 N/A N/A N/A
hecs_4_3.dft 1800000 1 N/A N/A N/A
hecs_4_4.dft 1800000 1 N/A N/A N/A
hecs_5_1.dft 1800000 1 N/A N/A N/A
hecs_5_5.dft 1800000 1 N/A N/A N/A
hecs_6_1.dft 1800000 1 N/A N/A N/A
hecs_6_6.dft 1800000 1 N/A N/A N/A
hecs_7_1.dft 1800000 1 N/A N/A N/A
hecs_7_7.dft 1800000 1 N/A N/A N/A
hecs_8_1.dft 1800000 1 N/A N/A N/A
hecs_8_8.dft 1800000 1 N/A N/A N/A
hemps.dft 457 1 N/A 35 18
nppwp.dft 134 1 N/A 25 3
rc.1-1-hc.dft 1200000 1 N/A N/A N/A
rc.1-1-sc.dft 177 1 N/A 26 3
rc.1-10-hc.dft 1800000 1 N/A N/A N/A
rc.1-10-sc.dft 1800000 1 N/A N/A N/A
rc.1-15-hc.dft 1800000 1 N/A N/A N/A
rc.1-15-sc.dft 1800000 1 N/A N/A N/A
rc.1-2-hc.dft 1800000 1 N/A N/A N/A
rc.1-2-sc.dft 1555 1 N/A 37 10
rc.1-20-hc.dft 1800000 1 N/A N/A N/A
rc.1-20-sc.dft 1800000 1 N/A N/A N/A
rc.1-25-hc.dft 1800000 1 N/A N/A N/A
rc.1-25-sc.dft 1800000 1 N/A N/A N/A
rc.1-3-hc.dft 1800000 1 N/A N/A N/A
rc.1-3-sc.dft 5864 1 N/A 47 40
rc.1-30-hc.dft 1800000 1 N/A N/A N/A
rc.1-30-sc.dft 1800000 1 N/A N/A N/A
rc.1-4-hc.dft 1800000 1 N/A N/A N/A
rc.1-4-sc.dft 193936 1 N/A 57 152
rc.1-5-hc.dft 1800000 1 N/A N/A N/A
rc.1-5-sc.dft 1800000 1 N/A N/A N/A
rc.10-1-hc.dft 1800000 1 N/A N/A N/A
rc.10-1-sc.dft 1800000 1 N/A N/A N/A
rc.10-10-hc.dft 1800000 1 N/A N/A N/A
rc.10-10-sc.dft 1800000 1 N/A N/A N/A
rc.15-1-hc.dft 1800000 1 N/A N/A N/A
rc.15-1-sc.dft 1800000 1 N/A N/A N/A
rc.15-15-hc.dft 1800000 1 N/A N/A N/A
rc.15-15-sc.dft 1800000 1 N/A N/A N/A
rc.2-1-hc.dft 1200000 1 N/A N/A N/A
rc.2-1-sc.dft 812 1 N/A 39 7
rc.2-2-hc.dft 1800000 1 N/A N/A N/A
rc.2-2-sc.dft 8141 1 N/A 50 38
rc.2-3-hc.dft 1800000 1 N/A N/A N/A
rc.2-3-sc.dft 256873 1 N/A 60 188
rc.2-4-hc.dft 1800000 1 N/A N/A N/A
rc.2-4-sc.dft 1200000 1 N/A N/A N/A
rc.20-1-hc.dft 1800000 1 N/A N/A N/A
rc.20-1-sc.dft 1800000 1 N/A N/A N/A
rc.20-20-hc.dft 1800000 1 N/A N/A N/A
rc.20-20-sc.dft 1800000 1 N/A N/A N/A
rc.25-1-hc.dft 1800000 1 N/A N/A N/A
rc.25-1-sc.dft 1800000 1 N/A N/A N/A
rc.25-25-hc.dft 1800000 1 N/A N/A N/A
rc.25-25-sc.dft 1800000 1 N/A N/A N/A
rc.3-1-hc.dft 1800000 1 N/A N/A N/A
